Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1455.0,144.0,5297.0,4810.0,567,1113.0,202.0,20.0,155.0,541.0,88.0,25.0,387.0,1236.0,0.231,0.295,0.378,0.673,1820.0,100.0,57.0,15.0,28.0,9.0,37.0,0.278,100.0,86.0
season,Last 7 days,66.0,6.0,230.0,209.0,34,57.0,12.0,3.0,6.0,34.0,7.0,0.0,18.0,49.0,0.273,0.332,0.445,0.777,93.0,6.0,1.0,1.0,1.0,1.0,1.0,0.329,130.0,111.0
season,Last 14 days,122.0,12.0,452.0,417.0,56,107.0,20.0,3.0,9.0,55.0,11.0,0.0,30.0,98.0,0.257,0.31,0.384,0.694,160.0,12.0,3.0,1.0,1.0,1.0,4.0,0.315,107.0,87.0
season,Last 28 days,245.0,25.0,964.0,886.0,121,240.0,53.0,3.0,25.0,114.0,18.0,3.0,61.0,203.0,0.271,0.323,0.422,0.745,374.0,21.0,9.0,4.0,4.0,3.0,9.0,0.325,121.0,103.0
platoon,vs RHP,140.0,,3559.0,3216.0,396,743.0,129.0,15.0,113.0,377.0,78.0,17.0,280.0,847.0,0.231,0.298,0.386,0.684,1241.0,66.0,35.0,9.0,19.0,7.0,23.0,0.277,103.0,89.0
platoon,vs LHP,115.0,,1738.0,1594.0,171,370.0,73.0,5.0,42.0,164.0,10.0,8.0,107.0,389.0,0.232,0.288,0.363,0.651,579.0,34.0,22.0,6.0,9.0,2.0,14.0,0.28,94.0,78.0
platoon,vs RHP as RHB,140.0,,1897.0,1757.0,213,416.0,71.0,9.0,60.0,205.0,38.0,9.0,100.0,452.0,0.237,0.286,0.39,0.676,685.0,41.0,25.0,5.0,10.0,2.0,18.0,0.284,100.0,90.0
platoon,vs RHP as LHB,137.0,,1662.0,1459.0,183,327.0,58.0,6.0,53.0,172.0,40.0,8.0,180.0,395.0,0.224,0.312,0.381,0.693,556.0,25.0,10.0,4.0,9.0,5.0,5.0,0.269,107.0,88.0
platoon,vs LHP as RHB,113.0,,1211.0,1123.0,120,268.0,58.0,3.0,29.0,117.0,6.0,2.0,58.0,246.0,0.239,0.284,0.373,0.657,419.0,24.0,16.0,6.0,8.0,2.0,10.0,0.279,95.0,72.0
platoon,vs LHP as LHB,109.0,,527.0,471.0,51,102.0,15.0,2.0,13.0,47.0,4.0,6.0,49.0,143.0,0.217,0.298,0.34,0.638,160.0,10.0,6.0,0.0,1.0,0.0,4.0,0.282,91.0,95.0
platoon,vs RH Starter,902.0,89.0,3321.0,3013.0,354,694.0,123.0,12.0,96.0,339.0,63.0,14.0,249.0,793.0,0.23,0.295,0.375,0.669,1129.0,61.0,33.0,8.0,18.0,7.0,26.0,0.279,99.0,85.0
platoon,vs LH Starter,553.0,55.0,1976.0,1797.0,213,419.0,79.0,8.0,59.0,202.0,25.0,11.0,138.0,443.0,0.233,0.295,0.385,0.68,691.0,39.0,24.0,7.0,10.0,2.0,11.0,0.276,102.0,86.0
hmvis,Home,682.0,70.0,2523.0,2286.0,286,543.0,98.0,5.0,84.0,274.0,41.0,17.0,181.0,562.0,0.238,0.302,0.395,0.697,903.0,53.0,35.0,9.0,12.0,5.0,18.0,0.278,107.0,88.0
hmvis,Away,773.0,74.0,2774.0,2524.0,281,570.0,104.0,15.0,71.0,267.0,47.0,8.0,206.0,674.0,0.226,0.288,0.363,0.652,917.0,47.0,22.0,6.0,16.0,4.0,19.0,0.278,94.0,84.0
half,1st Half,930.0,90.0,3343.0,3009.0,369,701.0,109.0,13.0,107.0,352.0,55.0,18.0,269.0,807.0,0.233,0.302,0.385,0.687,1157.0,69.0,38.0,10.0,17.0,6.0,25.0,0.281,104.0,91.0
half,2nd Half,525.0,54.0,1954.0,1801.0,198,412.0,93.0,7.0,48.0,189.0,33.0,7.0,118.0,429.0,0.229,0.282,0.368,0.65,663.0,31.0,19.0,5.0,11.0,3.0,12.0,0.273,93.0,76.0
