Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1542.0,146.0,5485.0,4899.0,655,1180.0,241.0,16.0,205.0,619.0,46.0,13.0,480.0,1265.0,0.241,0.314,0.422,0.736,2068.0,111.0,61.0,7.0,35.0,17.0,32.0,0.281,100.0,102.0
season,Last 7 days,84.0,8.0,274.0,255.0,32,56.0,13.0,0.0,13.0,32.0,3.0,0.0,17.0,70.0,0.22,0.27,0.424,0.694,108.0,6.0,1.0,0.0,1.0,0.0,1.0,0.249,87.0,86.0
season,Last 14 days,148.0,14.0,501.0,462.0,53,104.0,23.0,1.0,20.0,53.0,5.0,0.0,36.0,123.0,0.225,0.283,0.409,0.693,189.0,10.0,2.0,0.0,1.0,1.0,2.0,0.263,87.0,85.0
season,Last 28 days,272.0,26.0,952.0,867.0,103,196.0,41.0,2.0,35.0,102.0,8.0,4.0,71.0,232.0,0.226,0.293,0.399,0.692,346.0,17.0,12.0,0.0,2.0,3.0,4.0,0.267,88.0,88.0
platoon,vs RHP,143.0,,3705.0,3288.0,455,791.0,163.0,13.0,142.0,430.0,38.0,13.0,340.0,850.0,0.241,0.318,0.428,0.745,1406.0,72.0,44.0,6.0,26.0,14.0,24.0,0.28,103.0,106.0
platoon,vs LHP,115.0,,1780.0,1611.0,200,389.0,78.0,3.0,63.0,189.0,8.0,0.0,140.0,415.0,0.241,0.307,0.411,0.718,662.0,39.0,17.0,1.0,9.0,3.0,8.0,0.285,95.0,95.0
platoon,vs RHP as RHB,143.0,,1970.0,1751.0,243,398.0,86.0,2.0,87.0,233.0,24.0,6.0,177.0,489.0,0.227,0.305,0.428,0.733,749.0,52.0,24.0,4.0,13.0,7.0,9.0,0.262,99.0,106.0
platoon,vs RHP as LHB,140.0,,1735.0,1537.0,212,393.0,77.0,11.0,55.0,197.0,14.0,7.0,163.0,361.0,0.256,0.332,0.427,0.76,657.0,20.0,20.0,2.0,13.0,7.0,15.0,0.298,107.0,106.0
platoon,vs LHP as RHB,108.0,,1309.0,1181.0,156,304.0,64.0,1.0,55.0,149.0,5.0,0.0,107.0,296.0,0.257,0.324,0.453,0.777,535.0,34.0,12.0,0.0,7.0,3.0,7.0,0.297,111.0,102.0
platoon,vs LHP as LHB,112.0,,471.0,430.0,44,85.0,14.0,2.0,8.0,40.0,3.0,0.0,33.0,119.0,0.198,0.262,0.295,0.557,127.0,5.0,5.0,1.0,2.0,0.0,1.0,0.252,53.0,71.0
platoon,vs RH Starter,1028.0,97.0,3691.0,3279.0,464,795.0,162.0,16.0,143.0,437.0,35.0,13.0,337.0,843.0,0.242,0.318,0.432,0.751,1418.0,62.0,41.0,6.0,26.0,14.0,22.0,0.281,104.0,107.0
platoon,vs LH Starter,514.0,49.0,1794.0,1620.0,191,385.0,79.0,0.0,62.0,182.0,11.0,0.0,143.0,422.0,0.238,0.306,0.401,0.707,650.0,49.0,20.0,1.0,9.0,3.0,10.0,0.282,93.0,93.0
hmvis,Home,761.0,73.0,2718.0,2402.0,334,576.0,115.0,8.0,102.0,312.0,24.0,5.0,247.0,600.0,0.24,0.319,0.422,0.741,1013.0,49.0,41.0,6.0,20.0,12.0,13.0,0.276,102.0,99.0
hmvis,Away,781.0,73.0,2767.0,2497.0,321,604.0,126.0,8.0,103.0,307.0,22.0,8.0,233.0,665.0,0.242,0.31,0.423,0.732,1055.0,62.0,20.0,1.0,15.0,5.0,19.0,0.287,99.0,106.0
half,1st Half,919.0,89.0,3371.0,3002.0,421,737.0,148.0,12.0,129.0,389.0,31.0,5.0,300.0,766.0,0.246,0.318,0.432,0.75,1296.0,64.0,33.0,7.0,26.0,11.0,21.0,0.285,104.0,108.0
half,2nd Half,623.0,57.0,2114.0,1897.0,234,443.0,93.0,4.0,76.0,230.0,15.0,8.0,180.0,499.0,0.234,0.308,0.407,0.715,772.0,47.0,28.0,0.0,9.0,6.0,11.0,0.276,95.0,94.0
month,April/March,264.0,24.0,897.0,800.0,111,193.0,40.0,2.0,31.0,105.0,9.0,1.0,74.0,208.0,0.241,0.311,0.413,0.723,330.0,14.0,11.0,2.0,10.0,1.0,6.0,0.284,97.0,107.0
month,May,295.0,29.0,1104.0,975.0,135,231.0,55.0,3.0,41.0,124.0,8.0,2.0,109.0,264.0,0.237,0.319,0.426,0.744,415.0,19.0,11.0,0.0,7.0,3.0,8.0,0.281,103.0,109.0
month,June,252.0,25.0,946.0,859.0,117,222.0,38.0,5.0,43.0,111.0,10.0,2.0,69.0,199.0,0.258,0.317,0.464,0.782,399.0,26.0,8.0,3.0,6.0,4.0,6.0,0.287,111.0,110.0
month,July,283.0,27.0,1010.0,893.0,124,218.0,40.0,2.0,37.0,112.0,10.0,4.0,95.0,222.0,0.244,0.322,0.418,0.74,373.0,19.0,12.0,2.0,8.0,4.0,7.0,0.282,102.0,100.0
month,August,300.0,27.0,1027.0,910.0,115,212.0,45.0,3.0,33.0,114.0,4.0,4.0,97.0,249.0,0.233,0.317,0.398,0.715,362.0,23.0,17.0,0.0,3.0,4.0,3.0,0.284,95.0,96.0
month,Sept/Oct,148.0,14.0,501.0,462.0,53,104.0,23.0,1.0,20.0,53.0,5.0,0.0,36.0,123.0,0.225,0.283,0.409,0.693,189.0,10.0,2.0,0.0,1.0,1.0,2.0,0.263,87.0,85.0
outcome,in Wins,669.0,64.0,2507.0,2189.0,397,593.0,129.0,10.0,108.0,377.0,28.0,6.0,261.0,528.0,0.271,0.354,0.487,0.841,1066.0,40.0,30.0,6.0,19.0,13.0,11.0,0.309,128.0,99.0
outcome,in Losses,873.0,82.0,2978.0,2710.0,258,587.0,112.0,6.0,97.0,242.0,18.0,7.0,219.0,737.0,0.217,0.281,0.37,0.651,1002.0,71.0,31.0,1.0,16.0,4.0,21.0,0.259,77.0,115.0
stsub,as Starter,1314.0,146.0,5277.0,4713.0,630,1134.0,231.0,16.0,198.0,600.0,45.0,13.0,460.0,1207.0,0.241,0.314,0.422,0.736,1991.0,107.0,60.0,7.0,34.0,16.0,32.0,0.28,100.0,101.0
stsub,as Sub,228.0,0.0,208.0,186.0,25,46.0,10.0,0.0,7.0,19.0,1.0,0.0,20.0,58.0,0.247,0.322,0.414,0.736,77.0,4.0,1.0,0.0,1.0,1.0,0.0,0.32,101.0,129.0
age,Ages 25-,448.0,377.0,1542.0,1390.0,158,329.0,58.0,8.0,36.0,155.0,12.0,4.0,124.0,381.0,0.237,0.306,0.368,0.673,511.0,28.0,18.0,2.0,8.0,4.0,11.0,0.299,85.0,88.0
age,Ages 26-30,751.0,624.0,2689.0,2415.0,354,577.0,136.0,7.0,125.0,322.0,30.0,9.0,227.0,659.0,0.239,0.311,0.456,0.768,1102.0,38.0,33.0,1.0,13.0,5.0,17.0,0.275,107.0,109.0
age,Ages 31-35,258.0,233.0,908.0,798.0,99,187.0,34.0,0.0,25.0,92.0,1.0,0.0,94.0,162.0,0.234,0.316,0.371,0.687,296.0,35.0,5.0,4.0,7.0,2.0,3.0,0.262,89.0,91.0
age,Ages 36+,85.0,80.0,346.0,296.0,44,87.0,13.0,1.0,19.0,50.0,3.0,0.0,35.0,63.0,0.294,0.37,0.537,0.907,159.0,10.0,5.0,0.0,7.0,6.0,1.0,0.308,145.0,148.0
defp,as C,146.0,,564.0,502.0,58,105.0,21.0,1.0,29.0,70.0,0.0,1.0,51.0,182.0,0.209,0.294,0.428,0.722,215.0,11.0,9.0,2.0,0.0,0.0,2.0,0.261,95.0,106.0
defp,as 1B,146.0,,604.0,548.0,76,122.0,24.0,0.0,36.0,89.0,3.0,2.0,51.0,180.0,0.223,0.291,0.464,0.755,254.0,18.0,3.0,0.0,2.0,2.0,8.0,0.257,103.0,90.0
defp,as 2B,146.0,,625.0,579.0,91,157.0,33.0,4.0,25.0,81.0,10.0,6.0,36.0,103.0,0.271,0.317,0.472,0.788,273.0,7.0,5.0,0.0,5.0,1.0,8.0,0.289,113.0,114.0
defp,as 3B,146.0,,631.0,547.0,80,156.0,34.0,0.0,22.0,83.0,2.0,1.0,71.0,90.0,0.285,0.363,0.468,0.831,256.0,24.0,2.0,0.0,11.0,2.0,2.0,0.3,127.0,124.0
defp,as SS,146.0,,550.0,497.0,55,118.0,18.0,0.0,9.0,46.0,6.0,0.0,45.0,81.0,0.237,0.305,0.328,0.633,163.0,15.0,4.0,3.0,1.0,0.0,2.0,0.267,75.0,75.0
defp,as LF,146.0,,598.0,532.0,61,125.0,21.0,2.0,14.0,59.0,4.0,0.0,46.0,163.0,0.235,0.314,0.361,0.675,192.0,6.0,17.0,0.0,3.0,0.0,3.0,0.31,86.0,85.0
defp,as CF,146.0,,581.0,528.0,72,123.0,31.0,3.0,23.0,54.0,9.0,3.0,42.0,151.0,0.233,0.298,0.434,0.732,229.0,11.0,8.0,1.0,2.0,0.0,3.0,0.281,98.0,103.0
defp,as RF,146.0,,618.0,548.0,75,123.0,30.0,3.0,20.0,60.0,8.0,0.0,63.0,142.0,0.224,0.307,0.4,0.707,219.0,2.0,4.0,0.0,3.0,5.0,2.0,0.265,93.0,83.0
