Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2157.0,145.0,5506.0,4913.0,608,1157.0,272.0,28.0,129.0,578.0,36.0,12.0,484.0,1313.0,0.235,0.309,0.381,0.69,1872.0,87.0,51.0,30.0,24.0,21.0,37.0,0.294,100.0,91.0
season,Last 7 days,80.0,6.0,221.0,203.0,26,48.0,11.0,0.0,7.0,26.0,0.0,0.0,15.0,55.0,0.236,0.288,0.394,0.682,80.0,4.0,0.0,2.0,1.0,0.0,1.0,0.289,97.0,85.0
season,Last 14 days,156.0,11.0,416.0,375.0,49,87.0,23.0,2.0,11.0,47.0,3.0,0.0,29.0,89.0,0.232,0.296,0.392,0.688,147.0,10.0,6.0,4.0,2.0,0.0,3.0,0.274,99.0,85.0
season,Last 28 days,365.0,25.0,955.0,859.0,108,203.0,49.0,5.0,24.0,103.0,3.0,0.0,73.0,225.0,0.236,0.303,0.389,0.691,334.0,13.0,10.0,10.0,3.0,5.0,4.0,0.292,100.0,89.0
platoon,vs RHP,145.0,,3893.0,3483.0,388,794.0,178.0,21.0,85.0,367.0,26.0,9.0,344.0,961.0,0.228,0.301,0.364,0.666,1269.0,70.0,29.0,17.0,18.0,12.0,27.0,0.289,93.0,85.0
platoon,vs LHP,116.0,,1613.0,1430.0,220,363.0,94.0,7.0,44.0,211.0,10.0,3.0,140.0,352.0,0.254,0.329,0.422,0.75,603.0,17.0,22.0,13.0,6.0,9.0,10.0,0.307,117.0,105.0
platoon,vs RHP as RHB,145.0,,1183.0,1044.0,98,198.0,38.0,1.0,16.0,90.0,11.0,0.0,96.0,365.0,0.19,0.269,0.274,0.543,286.0,24.0,21.0,14.0,8.0,2.0,8.0,0.271,59.0,56.0
platoon,vs RHP as LHB,144.0,,2710.0,2439.0,290,596.0,140.0,20.0,69.0,277.0,15.0,9.0,248.0,596.0,0.244,0.315,0.403,0.718,983.0,46.0,8.0,3.0,10.0,10.0,19.0,0.295,108.0,95.0
platoon,vs LHP as RHB,114.0,,982.0,858.0,137,221.0,63.0,4.0,33.0,134.0,3.0,2.0,90.0,199.0,0.258,0.34,0.456,0.795,391.0,11.0,19.0,10.0,5.0,8.0,7.0,0.298,130.0,108.0
platoon,vs LHP as LHB,112.0,,631.0,572.0,83,142.0,31.0,3.0,11.0,77.0,7.0,1.0,50.0,153.0,0.248,0.312,0.371,0.682,212.0,6.0,3.0,3.0,1.0,1.0,3.0,0.32,98.0,109.0
platoon,vs RH Starter,1545.0,103.0,3907.0,3491.0,441,823.0,202.0,22.0,94.0,414.0,25.0,9.0,347.0,942.0,0.236,0.308,0.387,0.695,1351.0,62.0,27.0,21.0,19.0,16.0,25.0,0.295,101.0,92.0
platoon,vs LH Starter,612.0,42.0,1599.0,1422.0,167,334.0,70.0,6.0,35.0,164.0,11.0,3.0,137.0,371.0,0.235,0.312,0.366,0.678,521.0,25.0,24.0,9.0,5.0,5.0,12.0,0.293,97.0,87.0
hmvis,Home,1066.0,71.0,2678.0,2391.0,324,599.0,144.0,18.0,59.0,307.0,26.0,3.0,238.0,622.0,0.251,0.323,0.4,0.723,956.0,53.0,22.0,15.0,11.0,10.0,12.0,0.314,110.0,95.0
hmvis,Away,1091.0,74.0,2828.0,2522.0,284,558.0,128.0,10.0,70.0,271.0,10.0,9.0,246.0,691.0,0.221,0.296,0.363,0.66,916.0,34.0,29.0,15.0,13.0,11.0,25.0,0.275,91.0,86.0
half,1st Half,1396.0,92.0,3503.0,3127.0,381,723.0,159.0,17.0,82.0,358.0,22.0,10.0,307.0,834.0,0.231,0.306,0.372,0.677,1162.0,52.0,35.0,13.0,17.0,10.0,32.0,0.288,97.0,89.0
half,2nd Half,761.0,53.0,2003.0,1786.0,227,434.0,113.0,11.0,47.0,220.0,14.0,2.0,177.0,479.0,0.243,0.316,0.398,0.713,710.0,35.0,16.0,17.0,7.0,11.0,5.0,0.305,107.0,94.0
month,April/March,393.0,26.0,1024.0,900.0,136,214.0,38.0,8.0,36.0,126.0,8.0,3.0,106.0,230.0,0.238,0.325,0.418,0.742,376.0,19.0,12.0,1.0,5.0,5.0,14.0,0.279,115.0,112.0
month,May,428.0,29.0,1085.0,973.0,103,225.0,59.0,6.0,18.0,98.0,6.0,2.0,84.0,269.0,0.231,0.298,0.36,0.658,350.0,18.0,12.0,6.0,8.0,2.0,9.0,0.298,91.0,85.0
month,June,417.0,27.0,1022.0,921.0,103,208.0,46.0,2.0,17.0,96.0,4.0,4.0,85.0,240.0,0.226,0.295,0.336,0.631,309.0,10.0,7.0,5.0,3.0,1.0,7.0,0.286,84.0,73.0
month,July,341.0,23.0,863.0,756.0,96,182.0,49.0,4.0,24.0,94.0,12.0,2.0,90.0,203.0,0.241,0.326,0.411,0.738,311.0,16.0,8.0,4.0,4.0,4.0,2.0,0.296,113.0,99.0
